FLD_QUES0_000,<CT>\Obtained <NAME_ITM>!
FLD_QUES0_062,<S10><S10><C1>Kilwala.</C1>\<S10><S10><C2>Spekkio.</C2>\<S10><S10><C3>Johnny.</C3>\<S10><S10><C4>Gato.</C4>
FLD_QUES0_063,<S10><S10><C1>Doan.</C1>\<S10><S10><C2>Fritz.</C2>\<S10><S10><C3>Taban.</C3>\<S10><S10><C4>Kino.</C4>
FLD_QUES0_064,<S10><S10><C1>The King.</C1>\<S10><S10><C2>The Chancellor.</C2>\<S10><S10><C3>Melchior.</C3>\<S10><S10><C4>Pierre.</C4>
FLD_QUES0_065,<S10><S10><C1>Xr-rX.</C1>\<S10><S10><C2>Doan.</C2>\<S10><S10><C3>Johnny.</C3>\<S10><S10><C4>Marco.</C4>
FLD_QUES0_066,<S10><S10><C1>Heckran.</C1>\<S10><S10><C2>Zombor.</C2>\<S10><S10><C3>Ozzie.</C3>\<S10><S10><C4>Melphyx.</C4>
FLD_QUES0_067,<S10><S10><C1><NAME_MAG>.</C1>\<S10><S10><C2>Slash.</C2>\<S10><S10><C3>Ozzie.</C3>\<S10><S10><C4><NAME_CRO>.</C4>
FLD_QUES0_068,<S10><S10><C1>Masa.</C1>\<S10><S10><C2>Ozzie.</C2>\<S10><S10><C3>Slash.</C3>\<S10><S10><C4>Flea.</C4>
FLD_QUES0_069,<S10><S10><C1>Light.</C1>\<S10><S10><C2>Shadow.</C2>\<S10><S10><C3>Fire.</C3>\<S10><S10><C4>Non-elemental.</C4>
FLD_QUES0_070,<S10><S10><C1>Prometheus.</C1>\<S10><S10><C2>Perseus.</C2>\<S10><S10><C3>Atropos.</C3>\<S10><S10><C4>Artemis.</C4>
FLD_QUES0_071,<S10><S10><C1>The Dalton Aero-Cruiser.</C1>\<S10><S10><C2>The Dalton Air Chariot.</C2>\<S10><S10><C3>The Aero-Dalton Imperial.</C3>\<S10><S10><C4>The Daltonian Airthrone.</C4>
FLD_QUES0_072,<S10><S10><C1>Gato.</C1>\<S10><S10><C2>Prometheus.</C2>\<S10><S10><C3>Geno.</C3>\<S10><S10><C4>Johnny.</C4>
FLD_QUES0_073,<S10><S10><C1>An eye.</C1>\<S10><S10><C2>A star.</C2>\<S10><S10><C3>A clock.</C3>\<S10><S10><C4>A question mark.</C4>
FLD_QUES0_074,<S10><S10><C1>Alaza.</C1>\<S10><S10><C2>Azul.</C2>\<S10><S10><C3>Azzara.</C3>\<S10><S10><C4>Azala.</C4>
FLD_QUES0_075,<S10><S10><C1>The Forest Maze.</C1>\<S10><S10><C2>The Hunting Range.</C2>\<S10><S10><C3>Guardia Forest.</C3>\<S10><S10><C4>The Cursed Woods.</C4>
FLD_QUES0_076,<S10><S10><C1><NAME_LUC>.</C1>\<S10><S10><C2><NAME_AYL>.</C2>\<S10><S10><C3>Flea.</C3>\<S10><S10><C4><NAME_MAR>.</C4>
FLD_QUES0_077,<S10><S10><C1>Gina.</C1>\<S10><S10><C2>Lara.</C2>\<S10><S10><C3>Schala.</C3>\<S10><S10><C4>Leene.</C4>
FLD_QUES0_078,<S10><S10><C1>The Wings of Time.</C1>\<S10><S10><C2>The Time Egg.</C2>\<S10><S10><C3>The End of Time.</C3>\<S10><S10><C4>The Black Omen.</C4>
FLD_QUES0_079,
FLD_QUES0_080,
FLD_QUES0_081,
FLD_QUES0_082,
FLD_QUES0_083,
FLD_QUES0_084,
FLD_QUES0_085,
FLD_QUES0_086,
FLD_QUES0_087,
FLD_QUES0_088,
FLD_QUES0_089,
FLD_QUES0_090,
FLD_QUES0_091,
FLD_QUES0_092,
FLD_QUES0_093,
FLD_QUES0_094,
FLD_QUES0_095,
FLD_QUES0_096,
FLD_QUES0_097,
FLD_QUES0_098,
FLD_QUES0_099,
FLD_QUES0_100,
FLD_QUES0_101,
FLD_QUES0_102,
FLD_QUES0_103,
FLD_QUES0_104,
FLD_QUES0_105,
FLD_QUES0_106,
FLD_QUES0_107,
FLD_QUES0_108,
FLD_QUES0_109,
FLD_QUES0_110,
FLD_QUES0_111,
FLD_QUES0_112,
FLD_QUES0_113,
FLD_QUES0_114,
FLD_QUES0_115,
FLD_QUES0_116,
FLD_QUES0_117,
FLD_QUES0_118,
FLD_QUES0_119,
FLD_QUES0_120,
FLD_QUES0_121,
FLD_QUES0_122,
FLD_QUES0_123,
FLD_QUES0_124,
FLD_QUES0_125,
FLD_QUES0_126,
FLD_QUES0_127,
FLD_QUES0_128,
FLD_QUES0_129,
FLD_QUES0_130,
FLD_QUES0_131,
FLD_QUES0_132,
FLD_QUES0_133,
FLD_QUES0_134,
FLD_QUES0_135,
FLD_QUES0_136,
FLD_QUES0_137,
FLD_QUES0_138,
FLD_QUES0_139,
FLD_QUES0_140,
FLD_QUES0_141,
FLD_QUES0_142,
FLD_QUES0_143,
FLD_QUES0_144,
FLD_QUES0_145,
FLD_QUES0_146,
FLD_QUES0_147,
FLD_QUES0_148,
FLD_QUES0_149,
FLD_QUES0_150,
FLD_QUES0_151,
FLD_QUES0_152,
FLD_QUES0_153,
FLD_QUES0_154,
FLD_QUES0_155,
FLD_QUES0_156,
FLD_QUES0_157,
FLD_QUES0_158,
FLD_QUES0_159,
FLD_QUES0_160,
FLD_QUES0_161,
FLD_QUES0_162,
FLD_QUES0_163,
FLD_QUES0_164,
FLD_QUES0_165,
FLD_QUES0_166,
FLD_QUES0_167,
FLD_QUES0_168,
FLD_QUES0_169,
FLD_QUES0_170,
FLD_QUES0_171,
FLD_QUES0_172,
FLD_QUES0_173,
FLD_QUES0_174,
FLD_QUES0_175,
FLD_QUES0_176,
FLD_QUES0_177,
FLD_QUES0_178,
FLD_QUES0_179,
FLD_QUES0_180,
FLD_QUES0_181,
FLD_QUES0_182,
FLD_QUES0_183,
FLD_QUES0_184,
FLD_QUES0_185,
FLD_QUES0_186,
FLD_QUES0_187,
FLD_QUES0_188,
FLD_QUES0_189,
FLD_QUES0_190,
FLD_QUES0_191,
FLD_QUES0_192,
FLD_QUES0_193,
FLD_QUES0_194,
FLD_QUES0_195,
FLD_QUES0_196,
FLD_QUES0_197,
FLD_QUES0_198,
FLD_QUES0_199,
FLD_QUES0_200,
FLD_QUES0_201,
FLD_QUES0_202,
FLD_QUES0_203,
FLD_QUES0_204,
FLD_QUES0_205,
FLD_QUES0_206,
FLD_QUES0_207,
FLD_QUES0_208,
FLD_QUES0_209,
FLD_QUES0_210,
FLD_QUES0_211,
FLD_QUES0_212,
FLD_QUES0_213,
FLD_QUES0_214,
FLD_QUES0_215,
FLD_QUES0_216,
FLD_QUES0_217,
FLD_QUES0_218,
FLD_QUES0_219,
FLD_QUES0_220,
FLD_QUES0_221,
FLD_QUES0_222,
FLD_QUES0_223,
FLD_QUES0_224,
FLD_QUES0_225,
FLD_QUES0_226,
FLD_QUES0_227,
FLD_QUES0_228,
FLD_QUES0_229,
FLD_QUES0_230,
FLD_QUES0_231,
FLD_QUES0_232,
FLD_QUES0_233,
FLD_QUES0_234,
FLD_QUES0_235,
FLD_QUES0_236,
FLD_QUES0_237,
FLD_QUES0_238,
FLD_QUES0_239,
FLD_QUES0_240,
FLD_QUES0_241,
FLD_QUES0_242,
FLD_QUES0_243,
FLD_QUES0_244,
FLD_QUES0_245,
FLD_QUES0_246,
FLD_QUES0_247,
FLD_QUES0_248,
FLD_QUES0_249,
FLD_QUES0_250,
FLD_QUES0_251,
FLD_QUES0_252,
FLD_QUES0_253,
FLD_QUES0_254,
FLD_QUES0_255,
