MSG_EX_MONSPOT_01,Present - Leene Square
MSG_EX_BOSSSPOT_17,Middle Ages - Magus's Keep
MSG_EX_BOSSSPOT_18,Middle Ages - Magus's Keep
MSG_EX_BOSSSPOT_19,Middle Ages - Magus's Keep
MSG_EX_BOSSSPOT_20,Middle Ages - Magus's Keep
MSG_EX_BOSSSPOT_21,Middle Ages - Magus's Keep
MSG_EX_BOSSSPOT_22,Middle Ages - Magus's Keep
MSG_EX_BOSSSPOT_23,Prehistory - Tyranno Lair
MSG_EX_BOSSSPOT_24,Prehistory - Tyranno Lair
MSG_EX_BOSSSPOT_25,Prehistory - Tyranno Lair
MSG_EX_BOSSSPOT_26,Antiquity - Zeal Palace\<S10><S10><S10><S10>- Ocean Palace
MSG_EX_BOSSSPOT_27,Antiquity - Mudbeast Den
MSG_EX_BOSSSPOT_28,Antiquity - Mudbeast Den
MSG_EX_BOSSSPOT_29,Antiquity - Mudbeast Den
MSG_EX_BOSSSPOT_30,Antiquity - Mountain of Woe
MSG_EX_BOSSSPOT_31,Antiquity - Mountain of Woe
MSG_EX_BOSSSPOT_32,Antiquity - Mountain of Woe
MSG_EX_BOSSSPOT_33,Antiquity - Zeal Palace
MSG_EX_BOSSSPOT_34,Antiquity - Ocean Palace
MSG_EX_BOSSSPOT_35,Antiquity - Blackbird
MSG_EX_BOSSSPOT_36,Antiquity - Blackbird
MSG_EX_BOSSSPOT_37,Antiquity - North Cape
MSG_EX_BOSSSPOT_38,Future - Death Peak
MSG_EX_BOSSSPOT_39,Future - Death Peak
MSG_EX_BOSSSPOT_40,Middle Ages - Sunken Desert
MSG_EX_BOSSSPOT_41,Middle Ages - Sunken Desert
MSG_EX_BOSSSPOT_42,Middle Ages - Sunken Desert
MSG_EX_BOSSSPOT_43,Middle Ages - Ozzie's Fort
MSG_EX_BOSSSPOT_44,Middle Ages - Ozzie's Fort
MSG_EX_BOSSSPOT_45,Middle Ages - Ozzie's Fort
MSG_EX_BOSSSPOT_46,Middle Ages - Ozzie's Fort
MSG_EX_BOSSSPOT_47,Middle Ages - Ozzie's Fort
MSG_EX_BOSSSPOT_48,Future - Geno Dome
MSG_EX_BOSSSPOT_49,Future - Geno Dome
MSG_EX_BOSSSPOT_50,Future - Geno Dome
MSG_EX_BOSSSPOT_51,Future - Sun Temple
MSG_EX_BOSSSPOT_52,Future - Sun Temple
MSG_EX_BOSSSPOT_53,Middle Ages - Giant's Claw
MSG_EX_BOSSSPOT_54,Present - Guardia Castle
MSG_EX_BOSSSPOT_55,Black Omen
MSG_EX_BOSSSPOT_56,Black Omen
MSG_EX_BOSSSPOT_57,Black Omen
MSG_EX_BOSSSPOT_58,Black Omen
MSG_EX_BOSSSPOT_59,Black Omen
MSG_EX_BOSSSPOT_60,Black Omen
MSG_EX_BOSSSPOT_61,Black Omen
MSG_EX_BOSSSPOT_62,Black Omen
MSG_EX_BOSSSPOT_63,Black Omen
MSG_EX_BOSSSPOT_64,Black Omen
MSG_EX_BOSSSPOT_65,Black Omen
MSG_EX_BOSSSPOT_66,Black Omen
MSG_EX_BOSSSPOT_67,Black Omen
MSG_EX_BOSSSPOT_68,? ? ?
MSG_EX_BOSSSPOT_69,? ? ?
MSG_EX_BOSSSPOT_70,? ? ?
MSG_EX_BOSSSPOT_71,? ? ?
MSG_EX_BOSSSPOT_72,? ? ?
MSG_EX_BOSSSPOT_73,? ? ?
MSG_EX_BOSSSPOT_74,? ? ?
MSG_EX_BOSSSPOT_75,? ? ?
MSG_EX_BOSSSPOT_76,Lost Sanctum
MSG_EX_BOSSSPOT_77,Lost Sanctum
MSG_EX_BOSSSPOT_78,Lost Sanctum
MSG_EX_BOSSSPOT_79,Lost Sanctum
MSG_EX_BOSSSPOT_80,Lost Sanctum
MSG_EX_BOSSSPOT_81,Lost Sanctum
MSG_EX_BOSSSPOT_82,Lost Sanctum
MSG_EX_BOSSSPOT_83,Dimensional Vortex
MSG_EX_BOSSSPOT_84,Dimensional Vortex
MSG_EX_BOSSSPOT_85,Dimensional Vortex
MSG_EX_BOSSSPOT_86,Dimensional Vortex
MSG_EX_BOSSSPOT_87,Dimensional Vortex
MSG_EX_BOSSSPOT_88,Beyond Time's Eclipse
MSG_EX_BOSSSPOT_89,
MSG_EX_BOSSSPOT_90,
MSG_EX_BOSSSPOT_91,
MSG_EX_BOSSSPOT_92,
MSG_EX_BOSSSPOT_93,
MSG_EX_BOSSSPOT_94,
MSG_EX_BOSSSPOT_95,
MSG_EX_BOSSSPOT_96,
MSG_EX_BOSSSPOT_97,
MSG_EX_BOSSSPOT_98,
MSG_EX_BOSSSPOT_99,
MSG_EX_BOSSSPOT_100,
