MSG_FIELD_GENDAI_01,<NAME_CRO> - dom
MSG_FIELD_CHUSEI_20,Kaplica słońca
MSG_FIELD_CHUSEI_21,Czarny Omen
MSG_FIELD_MIRAI_01,Kopuła Trann
MSG_FIELD_MIRAI_02,Kopuła Bangor
MSG_FIELD_MIRAI_03,Strefa 16
MSG_FIELD_MIRAI_04,Kopuła Arris
MSG_FIELD_MIRAI_05,Kopuła Arris\Podziemia
MSG_FIELD_MIRAI_06,Stefa 32
MSG_FIELD_MIRAI_07,Opuszczona fabryka
MSG_FIELD_MIRAI_08,Kopuła Proto
MSG_FIELD_MIRAI_09,Kopuła Geno
MSG_FIELD_MIRAI_10,Porzucone ścieki
MSG_FIELD_MIRAI_11,Kopuła Opiekuna
MSG_FIELD_MIRAI_12,Szczyt Śmierci
MSG_FIELD_MIRAI_13,Świątynia słońca
MSG_FIELD_MIRAI_14,Kaplica słońca
MSG_FIELD_MIRAI_15,Czarny Omen
MSG_FIELD_GENSHI_01,Mistyczne góry
MSG_FIELD_GENSHI_02,Chatka wodza
MSG_FIELD_GENSHI_03,Chatka Ioka
MSG_FIELD_GENSHI_04,Teren spotkań
MSG_FIELD_GENSHI_05,Ruiny Laruba
MSG_FIELD_GENSHI_06,Gniazdo daktyli
MSG_FIELD_GENSHI_07,Tereny łowieckie
MSG_FIELD_GENSHI_08,Leśny labirynt
MSG_FIELD_GENSHI_09,Leże gadzin
MSG_FIELD_GENSHI_10,Leże Tyranno
MSG_FIELD_GENSHI_11,Ruiny leża Tyranno
MSG_FIELD_GENSHI_12,Kaplica słońca
MSG_FIELD_KODAI_01,Niewielka jaskinia
MSG_FIELD_KODAI_02,Jaskinia przyziemnych
MSG_FIELD_KODAI_03,Podniebna droga
MSG_FIELD_KODAI_04,Most lądowy
MSG_FIELD_KODAI_05,Legowisko błotożerów
MSG_FIELD_KODAI_06,Góra udręki
MSG_FIELD_KODAI_07,Enhasa
MSG_FIELD_KODAI_08,Kajar
MSG_FIELD_KODAI_09,Czarny ptak
MSG_FIELD_KODAI_10,Pałac Zeal
MSG_FIELD_KODAI_11,Oceaniczny pałac
MSG_FIELD_KODAI_12,Wioska ocalałych
MSG_FIELD_KODAI_13,Wioska pospolitych
MSG_FIELD_KODAI_14,Północny przylądek
MSG_FIELD_KODAI_15,Kaplica słońca
MSG_FIELD_KODAI_16,Czarny Omen
MSG_FIELD_OTHER_01,Koniec Czasu
MSG_FIELD_OTHER_02,? ? ?
MSG_FIELD_MENU_01,Truce
MSG_FIELD_MENU_02,Medina
MSG_FIELD_MENU_03,Porre
MSG_FIELD_MENU_04,Choras
MSG_FIELD_MENU_05,Las Fiony
MSG_FIELD_MENU_06,Truce
MSG_FIELD_MENU_07,Dorino
MSG_FIELD_MENU_08,Porre
MSG_FIELD_MENU_09,Choras
MSG_FIELD_MENU_10,Ioka
MSG_FIELD_MENU_11,Algetty
MSG_FIELD_MENU_12,Zagubiony azyl
MSG_FIELD_MENU_13,Wir międzywymiarowy
MSG_FIELD_MENU_14,Zaćmienie czasu
MSG_FIELD_MENU_15,Arena wieków
MSG_FIELD_MENU_16,Zagubiony Azyl - Prehistoria
MSG_FIELD_MENU_17,Zagubiony Azyl - Średniowiecze
MSG_FIELD_MENU_18,Wir międzywymiarowy - Starożytność
MSG_FIELD_MENU_19,Wir międzywymiarowy - Teraźniejszość
MSG_FIELD_MENU_20,Wir międzywymiarowy - Przyszłość
MSG_FIELD_MENU_21,Rezydencja w Dorino
MSG_FIELD_MENU_22,Dom wójta Porre
MSG_FIELD_MENU_23,Sklep w Truce
MSG_FIELD_MENU_24,Rezydencja burmistrza Truce
MSG_FIELD_MENU_25,Rezydencja burmistrza Porre
MSG_FIELD_MENU_26,Sklep w Medinie
MSG_FIELD_MENU_27,Dom wójta Mediny
MSG_FIELD_MENU_28,Wioska
MSG_FIELD_MENU_29,Milenijny las
MSG_FIELD_MENU_30,Wielkie Południowe \Bagno
MSG_FIELD_MENU_31,Południowa polana
MSG_FIELD_MENU_32,Kręte przejście
MSG_FIELD_MENU_33,Bezświetlna jaskinia
MSG_FIELD_MENU_34,Prastara forteca
MSG_FIELD_MENU_35,Szmaragdowa góra
MSG_FIELD_MENU_36,Wielki most
MSG_FIELD_MENU_37,Wieża \Starożytnych
MSG_FIELD_MENU_38,Szczelina planarna
MSG_FIELD_MENU_39,Wąwóz
MSG_FIELD_MENU_40,Święty wodospad
MSG_FIELD_MENU_41,Starożytna twierdza
MSG_FIELD_MENU_42,Osobliwa wioska
MSG_FIELD_MENU_43,Bezimienna jaskinia
MSG_FIELD_MENU_44,Zmrożone klify
MSG_FIELD_MENU_45,Wulkan
MSG_FIELD_MENU_46,Instytut \badań nad czasem
MSG_FIELD_MENU_47,Grota zmierzchu
MSG_FIELD_MENU_48,Otchłań
MSG_FIELD_MENU_49,Zamek Guardia \Śnienie
MSG_FIELD_MENU_50,Plac Leene \Śnienie
MSG_FIELD_MENU_51,Domostwo \Śnienie
